timestamp,demand_kwh,wind_generation_kwh,pv_generation_kwh,renewable_generation_kwh,direct_service_kwh,battery_charge_input_kwh,battery_discharge_delivered_kwh,battery_loss_kwh,battery_soc_end_kwh,curtailment_kwh,unmet_energy_kwh,served_energy_kwh,target
2025-01-01T00:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T01:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T02:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T03:00:00+00:00,1660.4470062269445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.4470062269445,0.0,0.95
2025-01-01T04:00:00+00:00,1660.4470062269445,0.0,227.14067923509216,227.14067923509216,227.14067923509216,0.0,0.0,0.0,0.0,0.0,1433.3063269918523,227.1406792350922,0.95
2025-01-01T05:00:00+00:00,1660.4470062269445,0.0,447.135147601662,447.135147601662,447.135147601662,0.0,0.0,0.0,0.0,0.0,1213.3118586252824,447.1351476016621,0.95
2025-01-01T06:00:00+00:00,1660.4470062269445,0.0,708.3304072353717,708.3304072353717,708.3304072353717,0.0,0.0,0.0,0.0,0.0,952.1165989915728,708.3304072353717,0.95
2025-01-01T07:00:00+00:00,1660.4470062269445,0.0,1204.7437142339274,1204.7437142339274,1204.7437142339274,0.0,0.0,0.0,0.0,0.0,455.70329199301705,1204.7437142339274,0.95
2025-01-01T08:00:00+00:00,1660.4470062269445,0.0,1299.1186872626683,1299.1186872626683,1299.1186872626683,0.0,0.0,0.0,0.0,0.0,361.32831896427615,1299.1186872626683,0.95
2025-01-01T09:00:00+00:00,1660.4470062269445,0.0,1234.614027500056,1234.614027500056,1234.614027500056,0.0,0.0,0.0,0.0,0.0,425.83297872688854,1234.614027500056,0.95
2025-01-01T10:00:00+00:00,1660.4470062269445,0.0,1396.92934615523,1396.92934615523,1396.92934615523,0.0,0.0,0.0,0.0,0.0,263.51766007171454,1396.92934615523,0.95
2025-01-01T11:00:00+00:00,1660.4470062269445,0.0,1029.5721022076398,1029.5721022076398,1029.5721022076398,0.0,0.0,0.0,0.0,0.0,630.8749040193047,1029.5721022076398,0.95
2025-01-01T12:00:00+00:00,1660.4470062269445,0.0,260.9115190394607,260.9115190394607,260.9115190394607,0.0,0.0,0.0,0.0,0.0,1399.5354871874838,260.9115190394607,0.95
2025-01-01T13:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.4784099443108,0.0,0.95
2025-01-01T14:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.4784099443108,0.0,0.95
2025-01-01T15:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.4784099443108,0.0,0.95
2025-01-01T16:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.4784099443108,0.0,0.95
2025-01-01T17:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T18:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T19:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T20:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T21:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T22:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-01T23:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T00:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T01:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T02:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T03:00:00+00:00,1660.4470062269445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.4470062269445,0.0,0.95
2025-01-02T04:00:00+00:00,1660.4470062269445,0.0,284.697006859874,284.697006859874,284.697006859874,0.0,0.0,0.0,0.0,0.0,1375.7499993670704,284.69700685987414,0.95
2025-01-02T05:00:00+00:00,1660.4470062269445,0.0,1129.8360869924547,1129.8360869924547,1129.8360869924547,0.0,0.0,0.0,0.0,0.0,530.6109192344898,1129.8360869924547,0.95
2025-01-02T06:00:00+00:00,1660.4470062269445,0.0,1271.6007588192654,1271.6007588192654,1271.6007588192654,0.0,0.0,0.0,0.0,0.0,388.84624740767913,1271.6007588192654,0.95
2025-01-02T07:00:00+00:00,1660.4470062269445,0.0,1553.6320401526805,1553.6320401526805,1553.6320401526805,0.0,0.0,0.0,0.0,0.0,106.81496607426402,1553.6320401526805,0.95
2025-01-02T08:00:00+00:00,1660.4470062269445,0.0,2736.708334493579,2736.708334493579,1660.4470062269445,1076.2613282666346,0.0,55.230181802417064,1021.0311464642175,0.0,0.0,1660.4470062269445,0.95
2025-01-02T09:00:00+00:00,1660.4470062269445,0.0,1441.3176589903942,1441.3176589903942,1441.3176589903942,0.0,219.1293472365503,11.853265914590565,790.0485333130766,0.0,0.0,1660.4470062269445,0.95
2025-01-02T10:00:00+00:00,1660.4470062269445,0.0,1523.2991535476178,1523.2991535476178,1523.2991535476178,0.0,137.14785267932666,7.418677543306245,645.4820030904438,0.0,0.0,1660.4470062269445,0.95
2025-01-02T11:00:00+00:00,1660.4470062269445,0.0,679.6438935738618,679.6438935738618,679.6438935738618,0.0,612.3579955240941,33.12400756634963,0.0,0.0,368.4451171289886,1292.0018890979559,0.95
2025-01-02T12:00:00+00:00,1660.4470062269445,0.0,245.6608151460428,245.6608151460428,245.6608151460428,0.0,0.0,0.0,0.0,0.0,1414.7861910809017,245.66081514604275,0.95
2025-01-02T13:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.4784099443108,0.0,0.95
2025-01-02T14:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.4784099443108,0.0,0.95
2025-01-02T15:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.4784099443108,0.0,0.95
2025-01-02T16:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.4784099443108,0.0,0.95
2025-01-02T17:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T18:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T19:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T20:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T21:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T22:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-02T23:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-03T00:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-03T01:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-03T02:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-03T03:00:00+00:00,1660.4470062269445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.4470062269445,0.0,0.95
2025-01-03T04:00:00+00:00,1660.4470062269445,0.0,657.814239871168,657.814239871168,657.814239871168,0.0,0.0,0.0,0.0,0.0,1002.6327663557765,657.814239871168,0.95
2025-01-03T05:00:00+00:00,1660.4470062269445,0.0,1597.6608258938647,1597.6608258938647,1597.6608258938647,0.0,0.0,0.0,0.0,0.0,62.786180333079756,1597.6608258938647,0.95
2025-01-03T06:00:00+00:00,1660.4470062269445,0.0,2905.644974049202,2905.644974049202,1660.4470062269445,1245.1979678222576,0.0,63.899452982840785,1181.2985148394168,0.0,0.0,1660.4470062269445,0.95
2025-01-03T07:00:00+00:00,1660.4470062269445,0.0,4136.888077431794,4136.888077431794,1660.4470062269445,2476.4410712048493,0.0,127.08278834648581,3530.6567976977803,0.0,0.0,1660.4470062269445,0.95
2025-01-03T08:00:00+00:00,1660.4470062269445,0.0,4046.7982233971784,4046.7982233971784,1660.4470062269445,2386.351217170234,0.0,122.45967415831865,5794.548340709696,0.0,0.0,1660.4470062269445,0.95
2025-01-03T09:00:00+00:00,1660.4470062269445,0.0,4215.361843287496,4215.361843287496,1660.4470062269445,2554.9148370605517,0.0,131.1098031997567,8218.353374570492,0.0,0.0,1660.4470062269445,0.95
2025-01-03T10:00:00+00:00,1660.4470062269445,0.0,3099.16683040192,3099.16683040192,1660.4470062269445,1438.7198241749754,0.0,73.83035640600451,9583.242842339463,0.0,0.0,1660.4470062269445,0.95
2025-01-03T11:00:00+00:00,1660.4470062269445,0.0,1778.5364080600498,1778.5364080600498,1660.4470062269445,118.08940183310528,0.0,6.059958637262582,9695.272285535306,0.0,0.0,1660.4470062269445,0.95
2025-01-03T12:00:00+00:00,1660.4470062269445,0.0,865.1695499374416,865.1695499374416,865.1695499374416,0.0,795.2774562895029,43.01858826377372,8856.976240982029,0.0,0.0,1660.4470062269445,0.95
2025-01-03T13:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,8143.905386530989,0.0,0.0,676.4784099443108,0.95
2025-01-03T14:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,7430.834532079949,0.0,0.0,676.4784099443108,0.95
2025-01-03T15:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,6717.763677628909,0.0,0.0,676.4784099443108,0.95
2025-01-03T16:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,6004.692823177869,0.0,0.0,676.4784099443108,0.95
2025-01-03T17:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,5680.569707518305,0.0,0.0,307.49018633832304,0.95
2025-01-03T18:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,5356.446591858741,0.0,0.0,307.49018633832304,0.95
2025-01-03T19:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,5032.323476199177,0.0,0.0,307.49018633832304,0.95
2025-01-03T20:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,4708.200360539613,0.0,0.0,307.49018633832304,0.95
2025-01-03T21:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,4384.077244880049,0.0,0.0,307.49018633832304,0.95
2025-01-03T22:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,4059.9541292204854,0.0,0.0,307.49018633832304,0.95
2025-01-03T23:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,3735.8310135609217,0.0,0.0,307.49018633832304,0.95
2025-01-04T00:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,3411.707897901358,0.0,0.0,307.49018633832304,0.95
2025-01-04T01:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,3087.5847822417945,0.0,0.0,307.49018633832304,0.95
2025-01-04T02:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,2763.461666582231,0.0,0.0,307.49018633832304,0.95
2025-01-04T03:00:00+00:00,1660.4470062269445,0.0,0.0,0.0,0.0,0.0,1660.4470062269445,89.81781833469972,1013.1968420205867,0.0,0.0,1660.4470062269445,0.95
2025-01-04T04:00:00+00:00,1660.4470062269445,0.0,374.42329064112647,374.42329064112647,374.42329064112647,0.0,961.2029216624555,51.99392035813116,0.0,0.0,324.82079392336254,1335.626212303582,0.95
2025-01-04T05:00:00+00:00,1660.4470062269445,0.0,1116.1655833804518,1116.1655833804518,1116.1655833804518,0.0,0.0,0.0,0.0,0.0,544.2814228464927,1116.1655833804518,0.95
2025-01-04T06:00:00+00:00,1660.4470062269445,0.0,1471.3519187070467,1471.3519187070467,1471.3519187070467,0.0,0.0,0.0,0.0,0.0,189.0950875198978,1471.3519187070467,0.95
2025-01-04T07:00:00+00:00,1660.4470062269445,0.0,3399.553783154872,3399.553783154872,1660.4470062269445,1739.1067769279273,0.0,89.24522412994202,1649.8615527979853,0.0,0.0,1660.4470062269445,0.95
2025-01-04T08:00:00+00:00,1660.4470062269445,0.0,3711.380198936012,3711.380198936012,1660.4470062269445,2050.933192709068,0.0,105.2471273685594,3595.547618138494,0.0,0.0,1660.4470062269445,0.95
2025-01-04T09:00:00+00:00,1660.4470062269445,0.0,4263.366265482906,4263.366265482906,1660.4470062269445,2602.919259255961,0.0,133.57323182581558,6064.89364556864,0.0,0.0,1660.4470062269445,0.95
2025-01-04T10:00:00+00:00,1660.4470062269445,0.0,2642.7810409930266,2642.7810409930266,1660.4470062269445,982.3340347660821,0.0,50.41014287692724,6996.817537457795,0.0,0.0,1660.4470062269445,0.95
2025-01-04T11:00:00+00:00,1660.4470062269445,0.0,1769.4826244141022,1769.4826244141022,1660.4470062269445,109.03561818715775,0.0,5.595348320388354,7100.257807324564,0.0,0.0,1660.4470062269445,0.95
2025-01-04T12:00:00+00:00,1660.4470062269445,0.0,372.84890630122175,372.84890630122175,372.84890630122175,0.0,1287.5980999257226,69.64946896439915,5743.010238434443,0.0,0.0,1660.4470062269445,0.95
2025-01-04T13:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,5029.939383983403,0.0,0.0,676.4784099443108,0.95
2025-01-04T14:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,4316.868529532363,0.0,0.0,676.4784099443108,0.95
2025-01-04T15:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,3603.7976750813227,0.0,0.0,676.4784099443108,0.95
2025-01-04T16:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,2890.7268206302824,0.0,0.0,676.4784099443108,0.95
2025-01-04T17:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,2566.603704970719,0.0,0.0,307.49018633832304,0.95
2025-01-04T18:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,2242.480589311155,0.0,0.0,307.49018633832304,0.95
2025-01-04T19:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,1918.3574736515916,0.0,0.0,307.49018633832304,0.95
2025-01-04T20:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,1594.234357992028,0.0,0.0,307.49018633832304,0.95
2025-01-04T21:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,1270.1112423324644,0.0,0.0,307.49018633832304,0.95
2025-01-04T22:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,945.9881266729006,0.0,0.0,307.49018633832304,0.95
2025-01-04T23:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,621.8650110133369,0.0,0.0,307.49018633832304,0.95
2025-01-05T00:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,297.7418953537732,0.0,0.0,307.49018633832304,0.95
2025-01-05T01:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,282.4627632520285,15.279132101744722,0.0,0.0,25.02742308629456,282.4627632520285,0.95
2025-01-05T02:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.49018633832304,0.0,0.95
2025-01-05T03:00:00+00:00,1660.4470062269445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.4470062269445,0.0,0.95
2025-01-05T04:00:00+00:00,1660.4470062269445,0.0,613.3616565707653,613.3616565707653,613.3616565707653,0.0,0.0,0.0,0.0,0.0,1047.0853496561792,613.3616565707653,0.95
2025-01-05T05:00:00+00:00,1660.4470062269445,0.0,1475.4466795609142,1475.4466795609142,1475.4466795609142,0.0,0.0,0.0,0.0,0.0,185.00032666603033,1475.4466795609142,0.95
2025-01-05T06:00:00+00:00,1660.4470062269445,0.0,2926.7353411300055,2926.7353411300055,1660.4470062269445,1266.288334903061,0.0,64.98174106433157,1201.3065938387294,0.0,0.0,1660.4470062269445,0.95
2025-01-05T07:00:00+00:00,1660.4470062269445,0.0,2794.4794905648873,2794.4794905648873,1660.4470062269445,1134.0324843379428,0.0,58.19480699980568,2277.144271176867,0.0,0.0,1660.4470062269445,0.95
2025-01-05T08:00:00+00:00,1660.4470062269445,0.0,3076.144244131194,3076.144244131194,1660.4470062269445,1415.6972379042493,0.0,72.64891320824336,3620.1925958728725,0.0,0.0,1660.4470062269445,0.95
2025-01-05T09:00:00+00:00,1660.4470062269445,0.0,3143.455543467854,3143.455543467854,1660.4470062269445,1483.0085372409096,0.0,76.10310709413534,5027.098026019647,0.0,0.0,1660.4470062269445,0.95
2025-01-05T10:00:00+00:00,1660.4470062269445,0.0,3387.8338325453838,3387.8338325453838,1660.4470062269445,1727.3868263184393,0.0,88.64379491765226,6665.841057420434,0.0,0.0,1660.4470062269445,0.95
2025-01-05T11:00:00+00:00,1660.4470062269445,0.0,1987.4953426721484,1987.4953426721484,1660.4470062269445,327.04833644520386,0.0,16.78304200443381,6976.106351861204,0.0,0.0,1660.4470062269445,0.95
2025-01-05T12:00:00+00:00,1660.4470062269445,0.0,797.6569811707275,797.6569811707275,797.6569811707275,0.0,862.790025056217,46.67051549424684,6066.64581131074,0.0,0.0,1660.4470062269445,0.95
2025-01-05T13:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,5353.5749568597,0.0,0.0,676.4784099443108,0.95
2025-01-05T14:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,4640.50410240866,0.0,0.0,676.4784099443108,0.95
2025-01-05T15:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,3927.43324795762,0.0,0.0,676.4784099443108,0.95
2025-01-05T16:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,3214.36239350658,0.0,0.0,676.4784099443108,0.95
2025-01-05T17:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,2890.239277847016,0.0,0.0,307.49018633832304,0.95
2025-01-05T18:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,2566.1161621874526,0.0,0.0,307.49018633832304,0.95
2025-01-05T19:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,2241.993046527889,0.0,0.0,307.49018633832304,0.95
2025-01-05T20:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,1917.8699308683254,0.0,0.0,307.49018633832304,0.95
2025-01-05T21:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,1593.7468152087617,0.0,0.0,307.49018633832304,0.95
2025-01-05T22:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,1269.6236995491981,0.0,0.0,307.49018633832304,0.95
2025-01-05T23:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,945.5005838896344,0.0,0.0,307.49018633832304,0.95
2025-01-06T00:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,621.3774682300707,0.0,0.0,307.49018633832304,0.95
2025-01-06T01:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,297.25435257050697,0.0,0.0,307.49018633832304,0.95
2025-01-06T02:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,282.0002395564588,15.254113014048187,0.0,0.0,25.489946781864262,282.0002395564588,0.95
2025-01-06T03:00:00+00:00,1660.4470062269445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.4470062269445,0.0,0.95
2025-01-06T04:00:00+00:00,1660.4470062269445,0.0,725.7581136087555,725.7581136087555,725.7581136087555,0.0,0.0,0.0,0.0,0.0,934.688892618189,725.7581136087555,0.95
2025-01-06T05:00:00+00:00,1660.4470062269445,0.0,2730.8594777542285,2730.8594777542285,1660.4470062269445,1070.412471527284,0.0,54.93003776437854,1015.4824337629054,0.0,0.0,1660.4470062269445,0.95
2025-01-06T06:00:00+00:00,1660.4470062269445,0.0,4392.9424444670285,4392.9424444670285,1660.4470062269445,2732.495438240084,0.0,140.22265398249692,3607.755218020492,0.0,0.0,1660.4470062269445,0.95
2025-01-06T07:00:00+00:00,1660.4470062269445,0.0,5408.251503113143,5408.251503113143,1660.4470062269445,3747.8044968861986,0.0,192.3249663316533,7163.234748575038,0.0,0.0,1660.4470062269445,0.95
2025-01-06T08:00:00+00:00,1660.4470062269445,0.0,5655.1093555754205,5655.1093555754205,1660.4470062269445,3994.662349348476,0.0,204.99289717035026,10952.904200753164,0.0,0.0,1660.4470062269445,0.95
2025-01-06T09:00:00+00:00,1660.4470062269445,0.0,5343.242984788228,5343.242984788228,1660.4470062269445,3682.795978561283,0.0,188.98894357259587,14446.711235741852,0.0,0.0,1660.4470062269445,0.95
2025-01-06T10:00:00+00:00,1660.4470062269445,0.0,4427.058893797215,4427.058893797215,1660.4470062269445,1838.641797365417,0.0,94.35303310726886,16191.0,927.9700902048535,0.0,1660.4470062269445,0.95
2025-01-06T11:00:00+00:00,1660.4470062269445,0.0,3087.27550762935,3087.27550762935,1660.4470062269445,0.0,0.0,0.0,16191.0,1426.8285014024057,0.0,1660.4470062269445,0.95
2025-01-06T12:00:00+00:00,1660.4470062269445,0.0,1026.5113049281554,1026.5113049281554,1026.5113049281554,0.0,633.9357012987891,34.29120076798938,15522.773097933221,0.0,0.0,1660.4470062269445,0.95
2025-01-06T13:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,14809.702243482181,0.0,0.0,676.4784099443108,0.95
2025-01-06T14:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,14096.631389031141,0.0,0.0,676.4784099443108,0.95
2025-01-06T15:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,13383.560534580101,0.0,0.0,676.4784099443108,0.95
2025-01-06T16:00:00+00:00,676.4784099443108,0.0,0.0,0.0,0.0,0.0,676.4784099443108,36.59244450672952,12670.489680129062,0.0,0.0,676.4784099443108,0.95
2025-01-06T17:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,12346.366564469497,0.0,0.0,307.49018633832304,0.95
2025-01-06T18:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,12022.243448809933,0.0,0.0,307.49018633832304,0.95
2025-01-06T19:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,11698.12033315037,0.0,0.0,307.49018633832304,0.95
2025-01-06T20:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,11373.997217490805,0.0,0.0,307.49018633832304,0.95
2025-01-06T21:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,11049.874101831241,0.0,0.0,307.49018633832304,0.95
2025-01-06T22:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,10725.750986171677,0.0,0.0,307.49018633832304,0.95
2025-01-06T23:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,10401.627870512113,0.0,0.0,307.49018633832304,0.95
2025-01-07T00:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,10077.504754852549,0.0,0.0,307.49018633832304,0.95
2025-01-07T01:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,9753.381639192985,0.0,0.0,307.49018633832304,0.95
2025-01-07T02:00:00+00:00,307.49018633832304,0.0,0.0,0.0,0.0,0.0,307.49018633832304,16.63292932124068,9429.25852353342,0.0,0.0,307.49018633832304,0.95
