site_id,site,region,cohort,demand_basis,demand_id,demand_sha256,weather_sha256,scenario_hash,target,annual_demand_kwh,wind_key,wind_count,wind_capacity_kw,pv_key,pv_count,pv_dc_capacity_kw,pv_ac_capacity_kw,battery_key,battery_count,battery_usable_capacity_kwh,annual_wind_generation_kwh,annual_pv_generation_kwh,raw_generation_kwh,served_energy_kwh,unmet_energy_kwh,curtailment_kwh,served_fraction,lpsp,loss_of_load_hours,longest_deficit_hours,maximum_hourly_deficit_kwh,capex_usd,npc_usd,eac_usd,cost_per_served_kwh_usd,wind_MW_per_GWh,pv_MWac_per_GWh,battery_MWh_per_GWh,NPC_per_annual_kWh_demand,CAPEX_per_annual_kWh_demand,EAC_per_annual_kWh_demand,raw_generation_load_ratio,curtailment_fraction,unmet_fraction,wind_share_raw_generation,pv_share_raw_generation,runtime_seconds,evaluated_portfolios,dispatch_simulations,dispatch_cache_hits
rodina,Rodina,Akmola Region,contextual,SOURCE_RECONSTRUCTED,rodina_phase9_reconstruction_v1,331983aa57dc786a0fb6adca4f8fe3fe4a68d8d271e42044f1ea9c64851705fd,58047e5411f9c6bf83171e2374f7f50358d533a79c355f94267d1459461aad19,775539a9be6a6f25c2c1349b9e915f314e8e7d1c26de281dd1c2dec118765f08,0.95,8020000.0,leitwind_ltw42_250,9,2250.0,trina_tsm_460_neg9r28__fronius_tauro_eco_100,45,4491.900000000001,4500.0,sungrow_powerstack_st255_2h,48,12336.0,5175867.379027881,6278343.365063717,11454210.744091619,7623098.258814621,396901.74118537945,3719522.0837871013,0.9505110048397283,0.04948899516027175,663,111,1698.8656504785536,22242333.0,31817841.02869179,1827230.8713391807,0.23969661800257475,0.2805486284289277,0.5610972568578554,1.5381546134663342,3.9673118489640635,2.773358229426434,0.22783427323431182,1.4282058284403514,0.324729670763717,0.04948899516027175,0.45187464196934984,0.5481253580306482,228.28635249997023,1867,10628,10493
shamshi_kaldayakova,Shamshi Kaldayakova,Aktobe Region,contextual,SYNTHETIC_ESTIMATE,shamshi_demo_500mwh_community,5b998ba8ab9eeda1e796791f16098e9f359e0e1dd7e1bcc5bcb64b64f3ec7864,3affa7bd91ec71e18e5de27370550f889794081fb7325aa7e9a58e8dabfbe56e,a19c0d0807bb264400f2386a416f57ec818951257807086c8eb409123a7f8f84,0.95,500000.0,northern_power_nps_100c_21,2,200.0,trina_tsm_460_neg9r28__sma_core1_stp50_41,7,347.76,350.0,sungrow_powerstack_st510_4h,2,1028.0,283526.84271196,486287.3964164373,769814.239128397,479129.4776024758,20870.522397524197,281838.7187328962,0.9582589552049516,0.04174104479504839,549,139,101.61071804907422,1841538.4,2638272.126253686,151510.3514326221,0.31622005849184515,0.4,0.7,2.056,5.276544252507372,3.6830768,0.3030207028652442,1.539628478256794,0.36611263394140525,0.04174104479504839,0.3683055317773496,0.6316944682226509,60.85341610002797,571,2689,7724
katon_karagay,Katon-Karagay,East Kazakhstan Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,3628207a6361c70a07dc13044603a426aa0f2cbd50e9d985ac76505df6540472,0da14c21e76598da9f34a5d0afbe601190483c2d199b34b37bf5e54574f0334f,aa0d7f983e87c433d465768c387927bf63ac180159d08477ca2922fab6bee0bb,0.95,2963855.701579716,,0,0.0,trina_tsm_460_neg9r28__fronius_tauro_eco_100,28,2794.96,2800.0,sungrow_powerstack_st255_2h,55,14135.0,0.0,4811526.2611444425,4811526.261144418,2816245.2732957774,147610.4282839387,1888879.8025848728,0.950196486217172,0.049803513782827984,705,66,602.3190120627152,12375040.4,20736065.708171047,1190828.1073477266,0.42284246995082636,0.0,0.9447153579398678,4.769125565885726,6.99631419205694,4.175318114645117,0.4017834291706654,1.6234009835836156,0.39257393601663604,0.049803513782827984,0.0,1.000000000000005,196.4010443999432,1319,10227,9065
kegen,Kegen,Almaty Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,6010f4527438fee80bfdaf47fefa2bed73d6c4c14dd6026bd0cd53b1f036eb43,02b7eccd76ff3ea0500c2a104be1a26a4aa5d965800c3802b80a8efe88ec835f,1cd456aafbd7b70af81f79bd384ee95cbab4466589ba8825f473d57ac9e37cf1,0.95,8004813.520509757,,0,0.0,rec_alpha_pure_rx_470__fronius_tauro_eco_100,50,4982.0,5000.0,sungrow_powerstack_st255_2h,59,15163.0,0.0,9531145.766269278,9531145.76626928,7608114.040380463,396699.4801292937,1672656.6389997674,0.9504423833093827,0.04955761669061734,801,46,1626.7496993358682,17222746.0,26917263.222430654,1545801.1210640045,0.2031779640604208,0.0,0.6246241698434462,1.8942352574672348,3.362634638953654,2.151548684534906,0.19310894839753442,1.190676802382565,0.17549376329121924,0.04955761669061734,0.0,0.9999999999999998,331.27733020007145,2482,14644,8297
shayan,Shayan,Turkistan Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,4bb0889de63259f8ec5e60f337b1c93984b5c2caa9ed92eca3171d2847b95abd,3edd437a574a9d3e4423c1b4f731c56d9369b22a91a3ead53b2297e60649d7e8,4386c0cd3bb33e948588c82d4d7d031bc6a2b418f750eb4d8933bc6ae04deb75,0.95,8170629.231381919,,0,0.0,trina_tsm_450_neg9r28__sma_core1_stp50_41,143,7142.85,7150.0,sungrow_powerstack_st255_2h,63,16191.0,0.0,13213006.665860135,13213006.665860139,7763740.497047411,406888.73433450813,5223008.859675335,0.9502010527204292,0.04979894727957078,710,44,1660.4470062269445,18028562.0,29423120.681695297,1689707.1800770904,0.21764086276707656,0.0,0.8750856020412888,1.9816099276434274,3.601083814779696,2.206508396043175,0.2068025769162586,1.6171345304852842,0.3952929860521892,0.04979894727957078,0.0,0.9999999999999997,154.63644129992463,1864,11216,9209
sai_otes,Sai-Otes,Mangystau Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,55da305f26a5e6c8347f334c5f2e84b2bed230e29b8cedb2cce747435f8331b5,1a7e6706dedf5b219f5d5009b6d081bcaf2609484ce184154c9f417e5c7f2751,bed644a2f27a25e6c1e1cae123f55dcd55b225afaea6dc0e8fc99be8119b0daf,0.95,1505959.113235099,leitwind_ltw42_250,2,500.0,rec_alpha_pure_rx_470__fronius_tauro_eco_100,7,697.48,700.0,sungrow_powerstack_st255_2h,9,2313.0,1461575.198622342,1139628.3727566933,2601203.571379043,1431700.526718061,74258.58651703797,1149196.9205922643,0.950690170892146,0.04930982910785393,701,92,306.04317369673095,4137851.2,5933382.5669618845,340741.52888129593,0.23799776735599176,0.33201432602369985,0.4648200564331797,1.5358982721856356,3.93993602802124,2.747651754708715,0.226262138119617,1.7272737012037078,0.44179430369727307,0.04930982910785393,0.5618842041830195,0.4381157958169774,116.00143340008799,844,5223,8938
togyzkuduk,Togyzkuduk,Karaganda Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,ff776126c9696fb361a8068ccfdef1cb0488b96275dc152620e8ea73962d2eb2,70cf1cb5e5ab8752d8a80b43c0409f5f6cf54df03b7b44e5621b1ffc281df134,bf955a10e7f2f71a57b322380c878f98d163a2d027f8698ed4adf97f31077888,0.95,889156.7104739147,northern_power_nps_100c_21,3,300.0,rec_alpha_pure_rx_470__fronius_tauro_eco_100,5,498.2,500.0,sungrow_powerstack_st255_2h,4,1028.0,552826.1218418586,741249.2066346376,1294075.3284764956,847653.9896981504,41502.720775764334,433259.00767324015,0.953323502722435,0.046676497277565,692,91,180.69570361881455,2467914.0,3387571.3149618628,194541.00861147835,0.2295052120037262,0.3373983421213814,0.5623305702023024,1.1561516523359339,3.8098698182869355,2.77556697366049,0.21879271260044728,1.4553962346938392,0.33480199965122004,0.046676497277565,0.4271977910997626,0.5728022089002378,92.84988420002628,753,4021,8554
