site,target,npc_per_annual_kwh,wind_kw_per_annual_mwh,pv_kwac_per_annual_mwh,storage_kwh_per_annual_mwh
Katon-Karagay,0.95,6.99631419205694,0.0,0.944715357939868,4.769125565885727
Kegen,0.95,3.362634638953654,0.0,0.624624169843446,1.8942352574672345
Rodina,0.95,3.9673118489640635,0.2805486284289277,0.5610972568578554,1.5381546134663342
Sai-Otes,0.95,3.93993602802124,0.3320143260236998,0.4648200564331797,1.5358982721856351
Shamshi Kaldayakova,0.95,5.276544252507372,0.4,0.7,2.056
Shayan,0.95,3.601083814779696,0.0,0.8750856020412888,1.9816099276434276
Togyzkuduk,0.95,3.8098698182869355,0.3373983421213815,0.5623305702023025,1.1561516523359339
