site_id,site,delta_wind_capacity_percent,wind_capacity_absolute_increase_kw,wind_entered_at_99,delta_pv_capacity_percent,pv_capacity_absolute_increase_kw,pv_entered_at_99,delta_storage_energy_percent,storage_absolute_increase_kwh,delta_CAPEX_usd,delta_CAPEX_percent,delta_NPC_usd,delta_NPC_percent,delta_EAC_usd,delta_EAC_percent,delta_curtailment_kwh,delta_LOLH,delta_unmet_energy_kwh
rodina,Rodina,133.33333333333334,3000.0,False,160.0,7200.0,False,31.25,3855.0,19460229.0,87.49185168660141,26746137.370680243,84.06018920819255,1535973.7277182208,84.06018920819255,16688349.362988327,-540,-316946.0128562071
shamshi_kaldayakova,Shamshi Kaldayakova,150.0,300.0,False,-14.28571428571429,-50.0,False,50.0,514.0,1129884.8000000003,61.35548408873801,1582323.6658637067,59.97575648538527,90869.47942538085,59.97575648538527,885407.862734875,-451,-16461.35385173926
katon_karagay,Katon-Karagay,,0.0,False,50.0,1400.0,False,9.090909090909083,1285.0,3407041.5999999996,27.531559412121197,4586474.876546621,22.118346561466183,263391.4877345187,22.118346561466183,2290818.506587539,-547,-117980.99988864467
kegen,Kegen,,0.0,False,52.0,2600.0,False,8.47457627118644,1285.0,1573190.0,9.134373810076513,3594729.3676299974,13.354735724523593,206437.65454482054,13.35473572452357,4667778.815067872,-623,-317841.01493764267
shayan,Shayan,,3000.0,True,42.65734265734267,3050.0,False,1.5873015873015817,257.0,14295374.0,79.29292419439776,17740790.604180634,60.295407805663295,1018815.8349490552,60.295407805663295,11101866.855220344,-566,-326231.5474086393
sai_otes,Sai-Otes,0.0,0.0,False,28.57142857142858,200.0,False,177.77777777777777,4112.0,2381775.0,57.56067303725179,4590213.941587618,77.36251438002219,263606.2142795002,77.36251438002225,254276.30507274787,-542,-59490.507573663475
togyzkuduk,Togyzkuduk,66.66666666666667,200.0,False,19.999999999999996,100.0,False,25.0,257.0,976157.6000000001,39.55395528369303,1281852.0320466617,37.839853773265666,73614.03318761956,37.839853773265666,1119878.6431346834,-565,-33238.849400630694
