site,target,npc_per_annual_kwh,wind_kw_per_annual_mwh,pv_kwac_per_annual_mwh,storage_kwh_per_annual_mwh
Kegen,0.95,0.05943537844315999,0.0,0.006246241698434461,0.03210568232995313
Shamshi Kaldayakova,0.95,23.19032800080923,0.6968000000000001,0.6,15.416
