site_id,site,region,cohort,demand_basis,demand_id,demand_sha256,weather_sha256,scenario_hash,target,annual_demand_kwh,wind_key,wind_count,wind_capacity_kw,pv_key,pv_count,pv_dc_capacity_kw,pv_ac_capacity_kw,battery_key,battery_count,battery_usable_capacity_kwh,annual_wind_generation_kwh,annual_pv_generation_kwh,raw_generation_kwh,served_energy_kwh,unmet_energy_kwh,curtailment_kwh,served_fraction,lpsp,loss_of_load_hours,longest_deficit_hours,maximum_hourly_deficit_kwh,capex_usd,npc_usd,eac_usd,cost_per_served_kwh_usd,wind_MW_per_GWh,pv_MWac_per_GWh,battery_MWh_per_GWh,NPC_per_annual_kWh_demand,CAPEX_per_annual_kWh_demand,EAC_per_annual_kWh_demand,raw_generation_load_ratio,curtailment_fraction,unmet_fraction,wind_share_raw_generation,pv_share_raw_generation,runtime_seconds,evaluated_portfolios,dispatch_simulations,dispatch_cache_hits
rodina,Rodina,Akmola Region,contextual,SOURCE_RECONSTRUCTED,rodina_phase9_reconstruction_v1,331983aa57dc786a0fb6adca4f8fe3fe4a68d8d271e42044f1ea9c64851705fd,58047e5411f9c6bf83171e2374f7f50358d533a79c355f94267d1459461aad19,9d963d8e9fe19f438f5ae489e2af0f5e872f2a7670ec0748c80a15411b7f36ab,0.99,8020000.0,leitwind_ltw42_250,21,5250.0,trina_tsm_450_neg9r28__fronius_tauro_eco_100,117,11688.300000000001,11700.0,sungrow_powerstack_st255_2h,63,16191.0,12077023.884398492,16336756.498113114,28413780.382511538,7940044.271670828,79955.72832917234,20407871.44677543,0.9900304578143176,0.009969542185682337,123,67,1698.8656504785536,41702562.0,58563978.399372034,3363204.5990574015,0.4235750436627831,0.6546134663341646,1.458852867830424,2.0188279301745635,7.302241695682299,5.199820698254364,0.4193521943961847,3.5428653843530595,0.718238515679396,0.009969542185682337,0.42504107942749525,0.5749589205725072,261.81023160007317,1969,11378,7372
shamshi_kaldayakova,Shamshi Kaldayakova,Aktobe Region,contextual,SYNTHETIC_ESTIMATE,shamshi_demo_500mwh_community,5b998ba8ab9eeda1e796791f16098e9f359e0e1dd7e1bcc5bcb64b64f3ec7864,3affa7bd91ec71e18e5de27370550f889794081fb7325aa7e9a58e8dabfbe56e,77e170ae0b388cbe1813ff72426dd53d5ee08ec0080efbb383fdabddf6739c46,0.99,500000.0,leitwind_ltw42_250,2,500.0,trina_tsm_460_neg9r28__sma_core1_stp50_41,6,298.08,300.0,sungrow_powerstack_st255_2h,6,1542.0,1251678.1192500151,416817.76835694467,1668495.8876069614,495590.83145421505,4409.168545784936,1167246.5814677712,0.9911816629084301,0.008818337091569872,98,60,101.61071804907422,2971423.2,4220595.792117393,242379.83085800294,0.4890724675974864,1.0,0.6,3.084,8.441191584234785,5.9428464000000005,0.4847596617160059,3.3369917752139227,0.6995801368991645,0.008818337091569872,0.7501835207069244,0.24981647929307463,74.13359759992454,610,3218,6356
katon_karagay,Katon-Karagay,East Kazakhstan Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,3628207a6361c70a07dc13044603a426aa0f2cbd50e9d985ac76505df6540472,0da14c21e76598da9f34a5d0afbe601190483c2d199b34b37bf5e54574f0334f,4d48794e50b739fc983be6a8e51cb89b21f093e348e2c3360387d01e72d070f0,0.99,2963855.701579716,,0,0.0,trina_tsm_450_neg9r28__fronius_tauro_eco_100,42,4195.8,4200.0,sungrow_powerstack_st255_2h,60,15420.0,0.0,7222881.305386646,7222881.30538664,2934226.273184422,29629.428395294024,4179698.309172412,0.9900030799814236,0.009996920018576386,158,36,602.3190120627152,15782082.0,25322540.58471767,1454219.5950822453,0.4956058121257388,0.0,1.417073036909802,5.202682435511702,8.543783211585138,5.324848302023695,0.4906512804611762,2.4369881777769717,0.5786746496935095,0.009996920018576386,0.0,1.0000000000000007,161.60438679996878,1434,9925,9705
kegen,Kegen,Almaty Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,6010f4527438fee80bfdaf47fefa2bed73d6c4c14dd6026bd0cd53b1f036eb43,02b7eccd76ff3ea0500c2a104be1a26a4aa5d965800c3802b80a8efe88ec835f,5b677046a0db6fba823ba1a32eb77c39b1b58f3af0bfd6e831c625e04c7f7e2d,0.99,8004813.520509757,,0,0.0,trina_tsm_450_neg9r28__fronius_tauro_eco_100,76,7592.400000000001,7600.0,sungrow_powerstack_st255_2h,64,16448.0,0.0,14512060.91431328,14512060.914313307,7925955.055318106,78858.46519165103,6340435.45406764,0.9901486193289073,0.009851380671092664,178,30,1626.7496993358682,18795936.0,30511992.59006065,1752238.775608825,0.22107604236704814,0.0,0.9494287381620381,2.0547636691170004,3.8117056083672023,2.3480791840861084,0.21889813811643175,1.812916800264094,0.4369079961491921,0.009851380671092664,0.0,0.9999999999999981,276.67884129995946,2656,14762,8589
shayan,Shayan,Turkistan Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,4bb0889de63259f8ec5e60f337b1c93984b5c2caa9ed92eca3171d2847b95abd,3edd437a574a9d3e4423c1b4f731c56d9369b22a91a3ead53b2297e60649d7e8,4540797cc6567114c241d109b48b0c7fcec7df3e232ecc2d682b78275807821d,0.99,8170629.231381919,leitwind_ltw42_250,12,3000.0,trina_tsm_450_neg9r28__fronius_tauro_eco_100,102,10189.800000000001,10200.0,sungrow_powerstack_st255_2h,64,16448.0,5614103.611238645,18926375.827351622,24540479.438590232,8089972.044456051,80657.18692586885,16324875.714895679,0.9901283995832195,0.00987160041678052,144,19,1660.4470062269445,32323936.0,47163911.28587593,2708523.0150261456,0.33480004629710186,0.36716878407326803,1.2483738658491113,2.0130640534790376,5.77237198632485,3.956113425860712,0.33149503402053726,3.0034993320140706,0.6652223627393601,0.00987160041678052,0.22876910882231552,0.771230891177686,158.86420549999457,2062,11544,9070
sai_otes,Sai-Otes,Mangystau Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,55da305f26a5e6c8347f334c5f2e84b2bed230e29b8cedb2cce747435f8331b5,1a7e6706dedf5b219f5d5009b6d081bcaf2609484ce184154c9f417e5c7f2751,b37d6c483cdd234c243c81b4195d697dbc5b8e86f15016d166d275739254ef0b,0.99,1505959.113235099,leitwind_ltw42_250,2,500.0,trina_tsm_460_neg9r28__fronius_tauro_eco_100,9,898.3800000000001,900.0,sungrow_powerstack_st255_2h,25,6425.0,1461575.198622342,1461198.5966662408,2922773.7952885814,1491191.0342917244,14768.078943374498,1403473.2256650121,0.9901935724459014,0.009806427554098553,159,29,306.04317369673095,6519626.2,10523596.508549502,604347.7431607961,0.4052785520185514,0.33201432602369985,0.5976257868426597,4.266384089404543,6.9879696042628465,4.32921859743891,0.4013042172589515,1.940805543524939,0.48018537319835236,0.009806427554098553,0.5000644254366707,0.4999355745633297,132.19400119991042,887,5998,8055
togyzkuduk,Togyzkuduk,Karaganda Region,primary_proxy,PROXY_DERIVED,proxy_rural_community_v1,ff776126c9696fb361a8068ccfdef1cb0488b96275dc152620e8ea73962d2eb2,70cf1cb5e5ab8752d8a80b43c0409f5f6cf54df03b7b44e5621b1ffc281df134,4a07f73edfeca37705f77d39d95613034c296f7913b65b78311a1792d5d1b4da,0.99,889156.7104739147,leitwind_ltw42_250,2,500.0,rec_alpha_pure_rx_470__fronius_tauro_eco_100,6,597.84,600.0,sungrow_powerstack_st255_2h,5,1285.0,1552728.550614825,889499.0479615638,2442227.598576388,880892.8390987811,8263.871375133642,1553137.6508079236,0.9907059449950852,0.00929405500491477,127,38,180.69570361881455,3444071.6,4669423.347008524,268155.0417990979,0.30441278427628093,0.5623305702023024,0.6747966842427628,1.4451895654199172,5.251518986478494,3.873413493291112,0.30158355511501794,2.74667847614252,0.6359512322738763,0.00929405500491477,0.6357837211895953,0.3642162788104051,103.89969820005354,771,4256,6258
