site_id,site,cohort,target,annual_demand_kwh,wind_MW_per_GWh,pv_MWac_per_GWh,battery_MWh_per_GWh,NPC_per_annual_kWh_demand,CAPEX_per_annual_kWh_demand,EAC_per_annual_kWh_demand,cost_per_served_kwh_usd,raw_generation_load_ratio,curtailment_fraction,unmet_fraction,wind_share_raw_generation,pv_share_raw_generation
rodina,Rodina,contextual,0.95,8020000.0,0.2805486284289277,0.5610972568578554,1.5381546134663342,3.9673118489640635,2.773358229426434,0.22783427323431182,0.23969661800257475,1.4282058284403514,0.324729670763717,0.04948899516027175,0.45187464196934984,0.5481253580306482
rodina,Rodina,contextual,0.99,8020000.0,0.6546134663341646,1.458852867830424,2.0188279301745635,7.302241695682299,5.199820698254364,0.4193521943961847,0.4235750436627831,3.5428653843530595,0.718238515679396,0.009969542185682337,0.42504107942749525,0.5749589205725072
shamshi_kaldayakova,Shamshi Kaldayakova,contextual,0.95,500000.0,0.4,0.7,2.056,5.276544252507372,3.6830768,0.3030207028652442,0.31622005849184515,1.539628478256794,0.36611263394140525,0.04174104479504839,0.3683055317773496,0.6316944682226509
shamshi_kaldayakova,Shamshi Kaldayakova,contextual,0.99,500000.0,1.0,0.6,3.084,8.441191584234785,5.9428464000000005,0.4847596617160059,0.4890724675974864,3.3369917752139227,0.6995801368991645,0.008818337091569872,0.7501835207069244,0.24981647929307463
katon_karagay,Katon-Karagay,primary_proxy,0.95,2963855.701579716,0.0,0.9447153579398678,4.769125565885726,6.99631419205694,4.175318114645117,0.4017834291706654,0.42284246995082636,1.6234009835836156,0.39257393601663604,0.049803513782827984,0.0,1.000000000000005
katon_karagay,Katon-Karagay,primary_proxy,0.99,2963855.701579716,0.0,1.417073036909802,5.202682435511702,8.543783211585138,5.324848302023695,0.4906512804611762,0.4956058121257388,2.4369881777769717,0.5786746496935095,0.009996920018576386,0.0,1.0000000000000007
kegen,Kegen,primary_proxy,0.95,8004813.520509757,0.0,0.6246241698434462,1.8942352574672348,3.362634638953654,2.151548684534906,0.19310894839753442,0.2031779640604208,1.190676802382565,0.17549376329121924,0.04955761669061734,0.0,0.9999999999999998
kegen,Kegen,primary_proxy,0.99,8004813.520509757,0.0,0.9494287381620381,2.0547636691170004,3.8117056083672023,2.3480791840861084,0.21889813811643175,0.22107604236704814,1.812916800264094,0.4369079961491921,0.009851380671092664,0.0,0.9999999999999981
shayan,Shayan,primary_proxy,0.95,8170629.231381919,0.0,0.8750856020412888,1.9816099276434274,3.601083814779696,2.206508396043175,0.2068025769162586,0.21764086276707656,1.6171345304852842,0.3952929860521892,0.04979894727957078,0.0,0.9999999999999997
shayan,Shayan,primary_proxy,0.99,8170629.231381919,0.36716878407326803,1.2483738658491113,2.0130640534790376,5.77237198632485,3.956113425860712,0.33149503402053726,0.33480004629710186,3.0034993320140706,0.6652223627393601,0.00987160041678052,0.22876910882231552,0.771230891177686
sai_otes,Sai-Otes,primary_proxy,0.95,1505959.113235099,0.33201432602369985,0.4648200564331797,1.5358982721856356,3.93993602802124,2.747651754708715,0.226262138119617,0.23799776735599176,1.7272737012037078,0.44179430369727307,0.04930982910785393,0.5618842041830195,0.4381157958169774
sai_otes,Sai-Otes,primary_proxy,0.99,1505959.113235099,0.33201432602369985,0.5976257868426597,4.266384089404543,6.9879696042628465,4.32921859743891,0.4013042172589515,0.4052785520185514,1.940805543524939,0.48018537319835236,0.009806427554098553,0.5000644254366707,0.4999355745633297
togyzkuduk,Togyzkuduk,primary_proxy,0.95,889156.7104739147,0.3373983421213814,0.5623305702023024,1.1561516523359339,3.8098698182869355,2.77556697366049,0.21879271260044728,0.2295052120037262,1.4553962346938392,0.33480199965122004,0.046676497277565,0.4271977910997626,0.5728022089002378
togyzkuduk,Togyzkuduk,primary_proxy,0.99,889156.7104739147,0.5623305702023024,0.6747966842427628,1.4451895654199172,5.251518986478494,3.873413493291112,0.30158355511501794,0.30441278427628093,2.74667847614252,0.6359512322738763,0.00929405500491477,0.6357837211895953,0.3642162788104051
